,id,product_type,product_name,color_description,scent_description,taste_description,fruit_tasting,sugar_tasting,acidity_tasting,tannin_tasting,harmonizes_with,technical_sheet_wine_type,technical_sheet_volume,technical_sheet_closure_type,technical_sheet_service_temperature_in_celsius,technical_sheet_country,technical_sheet_region,technical_sheet_alcohol_content,technical_sheet_grapes,technical_sheet_producer,technical_sheet_crop_year,technical_sheet_cellaring_time,technical_sheet_maturation_time,specialist_review_content,specialist_review_owner,specialist_review_occupation,url
48,674,Vinho tinto português,Grand'Arte Touriga Nacional Vinho Regional Lisboa 2019,Vermelho-rubi intenso,"Expressivo, com notas de frutas pretas maduras e toques picantes","Saboroso, elegante, agradável, frutado, com final intenso e persistente",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Portugal,Lisboa,13,Touriga Nacional,,2019,2025,3 meses em barricas de carvalho francês e 3 meses em garrafa,"A DFJ Vinhos, uma das vinícolas mais icônicas de Portugal, coleciona mais de 3700 prêmios em pouco mais de 20 anos de existência. Tamanho reconhecimento é materializado por meio de rótulos como Grand'Arte. Elaborado com a casta nativa Touriga Nacional quando cultivada nos solos de Lisboa, ele é um tinto saboroso, elegante e persistente, com aromas expressivos de frutas pretas maduras e toques picantes.",Vinícius Santiago,Sommelier da evino,
53,679,Vinho tinto italiano,Stardust Edição Limitada Sagittarius Rosso Toscana IGT 2020,Vermelho-rubi intenso,Notas intensas de frutas pretas maduras,"Equilibrado, estruturado, encorpado e fresco, com taninos macios",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Toscana,13,"Sangiovese, Merlot",,2020,2025,,,Vinícius Santiago,Sommelier da evino,
54,680,Vinho branco chileno,Playa Azul Winemaker Selection Sauvignon Blanc Central Valley D.O. 2023,Amarelo-palha brilhante,"Notas intensas de frutas brancas e cítricas, com toques florais","Frutado, harmonioso, refrescante, fácil de beber",4,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Risoto e massas de molho branco",Vinho branco,750ml,Rolha de cortiça,9,Chile,Valle Central,12.5,Sauvignon Blanc,,2023,2025,,"Depois do grande sucesso que a versão rosé de Playa Azul fez entre os nossos clientes, trouxemos a versão branca, estrelada pela uva Sauvignon Blanc. Não há dúvidas de que o privilegiado terroir do Chile faz do país um dos grandes produtores vinícolas da América Latina, e esse exemplar está aqui para nos lembrar o porquê de os vinhos chilenos conquistam cada vez mais taças no Brasil. Frutado, harmonioso, refrescante e super fácil de beber, Playa Azul é a pedida ideal para acompanhar pratos à base de peixes e frutos do mar.",Vinícius Santiago,Sommelier da evino,
57,683,Vinho tinto chileno,Aves Del Sur Cabernet Sauvignon Valle del Loncomilla D.O. 2023,Vermelho-rubi,"Toques de cerejas, amoras e groselhas",Taninos macios e sabores de frutas vermelhas ,2,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Chile,Valle del Loncomilla,13.5,Cabernet Sauvignon,,2023,2025,,"Aves del Sur Cabernet Sauvignon traz consigo toda a elegância e requinte do pássaro Carpintero Negro retratado em seu rótulo. Revelando taninos macios e sabores de frutas vermelhas, este vinho apresenta caráter frutado, no qual dominam os aromas de cerejas, amoras e groselhas.",Vinícius Santiago,Sommelier da evino,
68,693,Vinho tinto italiano,Lupo Meraviglia Due di Due Rosso di Puglia IGT 2022,Vermelho-rubi intenso,"Aromas de frutas maduras, groselha e amora","Estruturado, com taninos macios e equilibrados",3,2,2,3,"Queijos, Carnes vermelhas, Pizzas e massas de molho vermelho, Risoto e massas de molho branco",Vinho tinto,750ml,Rolha de cortiça,16,Itália,Puglia,14,"Negroamaro, Malvasia",,2022,2025,,"Lupo Meraviglia Due di Due é um blend entre uvas Negroamaro e Malvasia cultivadas na região da Puglia. Apresentando goles estruturados e concentrados, com taninos macios e redondos, e final harmônico e aveludado, ele revela aromas intensos de frutas vermelhas e toques picantes.",Vinícius Santiago,Sommelier da evino,
71,696,Espumante Branco francês,Champagne Veuve Clicquot Brut,Amarelo com reflexos dourados e perlage delicado,"Aromas de pêssego, ameixa mirabelle e pera, e notas de baunilha e brioche","Elegante, sedoso e fresco, com nuances frutadas e cítricas",4,1,5,1,"Carnes brancas, Frutos do mar, Queijos, Risoto e massas de molho branco, Saladas e aperitivos",Espumante Branco,750ml,Rolha,6,França,Champagne,12,Uvas variadas,,,2025,36 meses sur lie,"A Veuve Clicquot vem, por 250 anos, elaborando grandes espumantes em Reims, sub-região de Champagne. Um assemblage criado com uvas cultivadas em mais de 50 crus, este rótulo amadureceu por 3 anos em contato com suas borras. O resultado é um Champagne que expressa a elegância e qualidade únicas de seu produtor por meio de aromas de frutas brancas e amarelas, especiarias e brioche, e paladar elegante, sedoso e fresco.",Vinícius Santiago,Sommelier da evino,
74,699,Vinho rosé chileno,Lagunas Rosé Valle Central D.O. 2024,"Rosa pálido e brilhante, com nuances salmão","Notas de frutas como morango, framboesa, toranja e limão","Saboroso, vivaz, refrescante, agradável e frutado",4,1,4,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho rosé,750ml,Tampa de rosca,6,Chile,Valle Central,12.5,Carménère,,2024,2025,,,Vinícius Santiago,Sommelier da evino,
90,712,Espumante Branco francês,Champagne Armand de Brignac “Ace of Spades” Gold Brut,Amarelo-dourado,"Aromas de pêssego, damasco, frutas vermelhas e cítricas cristalizadas, com nuances de flor de laranjeira e brioche","Cremoso e delicado, com notas tostadas, e toques de cereja, frutas tropicais, limão, baunilha e mel",4,1,5,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Espumante Branco,750ml,Rolha,6,França,Champagne,12.5,Uvas variadas,,,2025,1 anos em barricas de carvalho francês,"Armand de Brignac é uma expressão luxuosa do terroir de Champagne. Criação da prestigiosa Maison Cattier, ele nasceu da mistura de diferentes vintages e licor de expedição amadurecido em carvalho francês. Após envelhecimento em caves, o Champagne adquiriu personalidade elegante e delicada, que encantou o público e a crítica especializada. Com aromas de frutas tropicais e cítricas cristalizadas, e toques flores, ele apresenta paladar cremoso, com notas tostadas e panificadas.",Vinícius Santiago,Sommelier da evino,
92,714,Vinho tinto italiano,Villa Puccini Governo All'Uso Toscano Toscana IGT 2023,Vermelho-rubi profundo,"Expressivo, com aromas de frutas maduras, como cereja em calda","Robusto, equilibrado, com taninos sedosos e macios, e sabor intenso de frutos vermelhos maduros",4,2,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Toscana,14,"Cabernet Sauvignon, Ciliegiolo, Sangiovese",,2023,2025,Estágio em tanques de aço inoxidável,"Os vinhos da Itália levam às taças mundo afora muita tradição e experiência familiar. E Villa Puccini é um ótimo exemplo disso. Assinado pela centenária Castellani, ele é produzido por meio do método Governo All'Uso Toscano, que é similar ao ancestral e clássico Ripasso. Ou seja, para elaborar esse rótulo, metade das uvas é colhida madura e, logo em seguida, vinificada. Enquanto isso, outra parcela das castas é retirada das vinhas depois do ponto ideal de maturação e desidrata parcialmente na vinícola. No fim, ambas se unem após a fermentação alcoólica da bebida. O resultado é um tinto muito rico em aromas e sabores como esse, que apresenta goles robustos, equilibrados e com taninos macios, além de aromas expressivos de cereja em calda.   ",Vinícius Santiago,Sommelier da evino,
95,717,Vinho tinto italiano,Cuvée 16 Limited Edition Vino Rosso d'Italia,Vermelho-rubi profundo com reflexos violáceos,"Intenso e complexo, com notas de compotas de frutas vermelhas que evoluem para baunilha e especiarias","Aveludado, redondo, frutado, taninos macios e equilibrados, final longo e persistente",4,1,2,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Itália,Multirregional,16,Uvas variadas,,,,,"Com raríssima pontuação na crítica especializada, a edição limitada de Cuvée 16 Vino Rosso expressa toda a maestria de um típico rótulo elaborado na Itália. Oferecendo goles aveludados, redondos e persistentes, com taninos macios e equilibrados, ele apresenta aromas intensos de compotas de frutas vermelhas que, após a aeração do líquido, mostram baunilha e especiarias. A dica para uma experiência de degustação aos moldes do país da bota é harmonizá-lo com pratos como ragú de carne com polenta ou ravioli recheado.",Vinícius Santiago,Sommelier da evino,
96,632,Vinho branco chileno,Lagunas Sauvignon Blanc Valle Central D.O. 2024,Amarelo-palha brilhante,"Marcante, com notas de frutas cítricas, lima, maracujá e ervas","Refrescante, frutado, agradável e delicado",4,1,4,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho branco,750ml,Tampa de rosca,6,Chile,Valle Central,12.5,Sauvignon Blanc,,2024,2025,,,Vinícius Santiago,Sommelier da evino,
100,449,Vinho tinto chileno,Santa Angelica Cabernet Sauvignon 2022,Vermelho-rubi intenso,"Frutas pretas, especialmente amoras, com toques picantes",Redondo e bem estruturado com taninos macios e boa persistência,3,2,3,3,"Carnes de caça, Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha,18,Chile,Valle Central,12.5,Cabernet Sauvignon,Ravanal,2022,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/santa-angelica-cabernet-sauvignon-2022.html
114,640,Vinho tinto italiano,Casato Mastino Amarone della Valpolicella DOCG 2019,Vermelho-granada intenso,"Expressivo e persistente, com notas de compota de frutas pretas e vermelhas, e nuances de especiarias e carvalho","Complexo, encorpado, aveludado, com toques de cerejas e amêndoas, taninos maduros e sedosos, e final persistente e agradável",5,2,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Vêneto,15,Blend,,2019,2025,3 anos em barricas de carvalho e aço inoxidável,"A viticultura italiana é uma das mais admiradas do mundo. Dentre os diversos vinhos elaborados no país, o tradicional Amarone della Valpolicella se destaca. Ele é produzido a partir do método appassimento, no qual as uvas maduras são colhidas e deixadas para desidratar por alguns meses, concentrando aromas e sabores, originando um vinho de grande corpo e complexidade. E Casato Mastino é exemplo disso. Apresentando goles encorpados, aveludados e persistentes em boca, ele revela notas de compota de frutas pretas e vermelhas, e nuances de especiarias e carvalho no nariz.",Vinícius Santiago,Sommelier da evino,
121,720,Vinho tinto italiano,Lupo Meraviglia Tre di Tre Rosso di Puglia IGT 2022,Vermelho-rubi intenso,"Frutas pretas e geleia, com aromas maduros e picantes de madeira","Estruturado e persistente, com final longo e harmonioso",3,2,3,4,"Carnes de caça, Carnes vermelhas, Queijos, Pratos apimentados, Sobremesas",Vinho tinto,750ml,Rolha de cortiça,16,Itália,Puglia,14.5,"Aglianico, Negroamaro, Primitivo",,2022,2025,6 meses em barrica de carvalho,"Oriundo da Puglia, Tre di Tre ou ""Três de Três"" leva às adegas a harmonia entre as castas Negroamaro, Aglianico e Primitivo. De caráter estruturado, harmonioso e persistente em boca, ele apresenta no nariz aromas intensos de compota de frutas pretas, com nuances picantes e amadeiradas, que fazem jus aos raros 99 pontos Luca Maroni conquistados.",Vinícius Santiago,Sommelier da evino,
129,388,Vinho rosé argentino,Casa Selvaggio Criolla Vino Orgânico 2023,Vermelho intenso e brilhante,"Intenso, com notas de frutas vermelhas como framboesa e cereja","Refrescante, leve, frutado, agradável e equilibrado",4,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Vinho rosé,750ml,Tampa de rosca,6,Argentina,Mendoza,13,Criolla,Vinecol,2023,2025,,"Amplamente cultivada na região de Mendoza, na Argentina, a uva Criolla demonstra que, apesar de pouco conhecida, é capaz de originar vinhos de ótima qualidade. E Casa Selvaggio é exemplo disso. Produzido sob o princípio de respeito ao meio ambiente, o objetivo de expressar de forma genuína o terroir, e de maneira orgânica e vegana, ele é refrescante, leve, agradável e equilibrado em boca. Já no nariz, espere apreciar aromas intensos de frutas vermelhas como framboesa e cereja.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/casa-selvaggio-criolla-organico.html
130,391,Vinho tinto espanhol,Paso a Paso Tempranillo 2023,Vermelho-rubi intenso,"Expressivo, ressaltando notas de frutas vermelhas ","Elegante e agradável, com taninos maduros",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Espanha,Castilla-La Mancha,13.5,Tempranillo,Bodegas Volver,2023,2025,,"Nas planícies de Castilla-La Mancha, região conhecida como “adega da Europa”, a Bodegas Volver se destaca como referência de excelência e paixão enológica. E é lá que surge este Paso a Paso, uma expressão da Tempranillo, considerada a rainha das uvas tintas espanholas. Enquanto os aromas do vinho são marcados por frutas vermelhas, os taninos maduros apresentam elegância ao paladar, oferecendo sensação agradável em boca. Para uma experiência de degustação ainda mais rica, sugerimos harmonizá-lo com queijos maduros, carnes de caça ou massas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/paso-a-paso-2015-86062.html
131,402,Vinho tinto italiano,Conte Parelli Appassimento Puglia IGT 2021,Vermelho-rubi intenso com reflexos violáceos,"Notas intensas de frutas vermelhas maduras, e toques de baunilha e especiarias doces","Elegante e harmonioso, com taninos aveludados e boa acidez",4,2,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Itália,Puglia,15,"Blend, Negroamaro, Uvas variadas",Angelo Rocca e Figli Srl,2021,2025,Estágio em barricas de carvalho francês,"Elaborado na Puglia, uma das regiões vinícolas mais famosas do sul da Itália, Conte Parelli é um tinto produzido por meio do método Appassimento, no qual as uvas são desidratadas parcialmente, concentrando mais açúcares, aromas e sabores. Harmonioso e elegante, este é um exemplar que apresenta notas intensas de frutas vermelhas maduras, e toques de baunilha e especiarias doces, que foi coroado com 95 pontos pelo famoso crítico Luca Maroni.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/angelo-rocca-e-figli-srl-conte-parelli-appassimento-puglia-igt-2021.html
132,403,Vinho tinto argentino,Atardecer de Los Andes Bonarda 2024,Vermelho-rubi profundo,Aromas de frutas vermelhas frescas e especiarias,"Estruturado, harmônico e persistente",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,12.5,Bonarda,Fecovita,2024,2025,,"Atardecer de Los Andes é um vinho tinto elaborado em Mendoza, a principal região vinícola na Argentina. 100% Bonarda, esta versão revela aromas de frutas vermelhas frescas e especiarias, e paladar estruturado, harmônico e persistente. Para uma experiência ainda mais completa, sugerimos harmonizar com o churrasco do fim de semana ou uma saborosa pizza marguerita.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/fecovita-atardecer-de-los-andes-bonarda-2024.html
133,451,Vinho tinto argentino,Belhara Estate Epic Wines Malbec Old Vine Selection 2024,Vermelho púrpura com reflexos roxos,"Flores e frutas vermelhas, como cerejas maduras e framboesa","Final longo, taninos macios, e notas de mirtilo, amora preta, café torrado e canela",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,13,Malbec,Belhara Estate,2024,2025,,"Produzida pela vinícola Belhara Estate, a linha Epic Wines é uma expressão equilibrada e elegante da uva Malbec quando cultivada em Mendoza. Elaborada a partir de uma seleção de vinhas velhas, essa versão apresenta aroma floral, complementado por frutas vermelhas como cereja madura e framboesa, e taninos macios em boca, além de notas de mirtilo, amora preta, café torrado e canela.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/belhara-estate-epic-wines-malbec-old-vine-selection-2024.html
134,454,Vinho tinto chileno,Paseo Red Blend Valle Central D.O. 2023,Vermelho-rubi intenso,"Notas de frutas vermelhas maduras, como cerejas, ameixas e amoras","Bem estruturado, com taninos firmes e corpo médio",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,"Cabernet Sauvignon, Merlot, Uvas variadas",Viña del Pedregal,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vina-del-pedregal-paseo-red-blend-2023.html
136,509,Vinho tinto espanhol,Raso de Larrainzar Single Vineyard Reserva Navarra D.O. 2014,Vermelho-rubi profundo,"Frutas pretas e vermelhas, além de figo e cacau com notas tostadas","Aveludado com ótima estrutura, final longo e retrogosto frutado",3,1,2,3,"Carnes brancas, Carnes vermelhas, Pizzas e massas de molho vermelho",Vinho tinto,750ml,Rolha,18,Espanha,Navarra,14.5,Uvas variadas,Pago de Larrainzar,2014,2025,12 meses em barricas de carvalho francês,"“Raso de Larrainzar é mais que um vinho. É a alma de nossa família e uma homenagem a essa propriedade que permaneceu conosco nos últimos 160 anos.” Começamos com essa frase que retrata o espírito da família Pago de Larrainzar, que com toda sua experiência decidiu criar um vinho para a realeza. Aclamado pela crítica e envelhecido em barricas de carvalho por 12 meses, é um vinho de complexidade única que só provando para entender.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/raso-de-larrainzar-single-vineyard-reserva-2014.html
138,512,Vinho tinto chileno,Expedicion Single Vineyard Selection Carménère Central Valley D.O. 2024,Vermelho-rubi intenso com reflexos roxos,"Agradável, com notas de amoras, chocolate e tabaco","Macio, aveludado, com frescor agradável, notas de frutas pretas e um toque de pimenta",3,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Pratos apimentados",Vinho tinto,750ml,Rolha de cortiça,17,Chile,Valle Central,12.5,Carménère,Bodegas y Viñedos de Aguirre,2024,2025,Estágio em barricas de carvalho,"Considerada uma das uvas mais emblemáticas do Chile, a Carménère tem êxito quando cultivada em lugares mais quentes e ensolarados, como o Valle Central - que por si só, ainda conta com a influência do Pacífico e da Cordilheira dos Andes. Dessa forma, este rótulo da linha Expedicion não poderia ser mais saboroso: macio e aveludado, é refrescante e conta com aromas de amoras, chocolate e tabaco. Sem sombra de dúvidas é a pedida perfeita para o churrasco do fim de semana.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/expedicion-single-vineyard-selection-carmenere-central-valley-d-o-2024.html
139,513,Vinho tinto argentino,Kadabra Malbec 2023,Vermelho-rubi brilhante com nuances púrpura ,Aromas frescos e intensos de frutas vermelhas e pretas maduras,"Elegante e harmonioso, com taninos macios e final agradável",3,1,3,3,"Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Argentina,Mendoza,,Malbec,Fecovita,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/fecovita-kadabra-malbec-20233.html
141,355,Vinho branco sul-africano,The African Horizon Sauvignon Blanc Western Cape W.O. 2023,Amarelo-palha brilhante,"Aromas frutados e notas de maracujá, pêssego e limão","Saboroso, equilibrado e de final longo, com toques de frutas tropicais maduras e cítricas ",4,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Risoto e massas de molho branco, Saladas e aperitivos",Vinho branco,750ml,Tampa de rosca,6,África do Sul,Western Cape,12,Sauvignon Blanc,Origin Wine,2023,2025,,"Elaborada em Western Cape, na África do Sul, esta versão de Sauvignon Blanc se beneficiou do clima mediterrâneo e grande amplitude térmica da região para gerar um vinho refrescante e saboroso. Enquanto ressalta aromas frutados ao nariz, ele é harmônico em boca, revelando toques de frutas tropicais maduras e cítricas. Sugerimos apostar em frango ao curry tailandês, ostras frescas e risoto de limão siciliano com aspargos para uma experiência de degustação completa.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/origin-wine-the-african-horizon-sauvignon-blanc-202333.html
142,419,Vinho tinto argentino,Villa del Nevado Malbec 2024,Vermelho-rubi brilhante e profundo,"Intenso, com notas de frutas maduras e leves toques florais","Equilibrado, harmonioso, com taninos redondos, boa acidez e final persistente",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,13,Malbec,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/villa-del-nevado-malbec-2024.html
145,9,Vinho tinto chileno,Candle Single Vineyard Tinto,Vermelho intenso,Frutas vermelhas maduras,"Macio, frutado, fácil de beber e fresco",4,1,3,2,"Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,16,Chile,Valle del Maule,12.5,Uvas variadas,Aura Wines,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/candle-red-blend-201941.html
148,7,Vinho tinto chileno,Lagunas Cabernet Sauvignon Valle Central D.O. 2023,Vermelho-rubi intenso e profundo,"Expressivo, com notas de frutas pretas, groselha, especiarias, louro e cedro","Saboroso, harmônico, equilibrado, com taninos sedosos e nuances frutadas",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,Cabernet Sauvignon,Cremaschi Furlotti,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/cremaschi-lagunas-cabernet-sauvignon.html
150,13,Vinho tinto argentino,Rocas Viejas Red Blend 2024,Vermelho-rubi,Frutas vermelhas frescas como cereja e morango,"Bastante sabor de frutas, boa acidez e maciez",3,1,3,3,"Carnes brancas, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,12,Uvas variadas,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/rocas-viejas-red-blend-2024.html
152,3,Vinho tinto português,Foral D. Henrique Reserva Dão DOC 2021,Vermelho-rubi,Aroma intenso de compota de frutos silvestres e notas de especiarias,"Paladar equilibrado, taninos sedosos e final longo",3,1,3,3,"Carnes de caça, Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha,18,Portugal,Dão,12.5,"Jaén, Touriga Nacional, Aragonez",Adega Cooperativa Mangualde,2021,2025,6 meses em tanques de aço inoxidável e barricas de carvalho,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/foral-d-henrique-reserva-doc-2021.html
